topic,url,text,source
Tetanus,https://www.who.int/health-topics/tetanus,"Tetanus is a serious illness contracted through exposure to the spores of the bacterium, Clostridium tetani , which live in soil, saliva, dust and manure. The bacteria can enter the body through a deep cuts, wounds or burns affecting the nervous system. The infection leads to painful muscle contractions, particularly of the jaw and neck muscle, and is commonly known as “lockjaw”. People of all ages can get tetanus but the disease is particularly common and serious in newborn babies and their mothers when the mother is unprotected from tetanus by the vaccine, tetanus toxoid. Tetanus occurring during pregnancy or within 6 weeks of the end of pregnancy is called maternal tetanus, while tetanus occurring within the first 28 days of life is called neonatal tetanus. The disease remains an important public health problem in many parts of the world, but especially in low-income countries or districts, where immunization coverage is low and unclean birth practices are common. WHO estimates that in 2018 (the latest year for which estimates are available), 25 000 newborns died from neonatal tetanus, 88% reduction from the situation in 2000.         Nearly all cases of tetanus occur in people who have never been vaccinated or in adults who have not kept up to date on their booster shots. Signs and symptoms of tetanus appear anytime from 3 to 21 days after tetanus bacteria enter the body through a wound. Most cases occur within 14 days. Symptoms can include: jaw cramping or the inability to open the mouth muscle spasms often in the back, abdomen and extremities sudden painful muscle spasms often triggered by sudden noises trouble swallowing seizures headache fever and sweating changes in blood pressure or fast heart rate. In neonatal tetanus, symptoms include muscle spasms, which are often preceded by the newborn’s inability to suck or breastfeed, and excessive crying. Tetanus is diagnosed on the basis of clinical features and does not require laboratory confirmation. Tetanus requires treatment in a medical facility, often in a referral hospital. People who recover from tetanus do not have natural immunity and can be infected again and therefore need to be immunized.     Tetanus can be prevented through immunization with tetanus-toxoid-containing vaccines (TTCV), which are included in routine immunization programmes globally and administered during antenatal care contacts. To be protected throughout life, WHO recommends that an individual receives 6 doses (3 primary plus 3 booster doses) of TTCV. The 3-dose primary series should begin as early as 6 weeks of age, with subsequent doses given with a minimum interval of 4 weeks between doses. The 3 booster doses should preferably be given during the second year of life (12–23 months), at 4–7 years of age, and at 9–15 years of age. Ideally, there should be at least 4 years between booster doses. There are many kinds of vaccines used to protect against tetanus: diphtheria and tetanus (DT) vaccines diphtheria, tetanus, and pertussis (whooping cough) (DTaP) vaccines tetanus and diphtheria (Td) vaccines tetanus, diphtheria, and pertussis (Tdap) vaccines. Neonatal tetanus can be prevented by immunizing women of reproductive age with TTCV, either during pregnancy or outside of pregnancy. Additionally, robust medical practices can also prevent tetanus disease including clean delivery and cord care during childbirth, and proper wound care for surgical and dental procedures.                                                                ",WHO
Health accounts,https://www.who.int/health-topics/health-accounts,"The system of health accounts is an international accounting framework for systematically tracking health spending. Time trends of overall health spending and its components guide future policies and investments to make health systems more responsive to people’s needs. They are essential for improving the performance of health systems while enhancing transparency and accountability. Health expenditure data also provide insights for assessing the adequacy of health resources, evaluating the efficiency, effectiveness, and equity of resource allocations, benchmarking against peers, and monitoring the progress towards the key goals of universal health coverage and health security. Accordingly, the demand for timely, accurate, and comprehensive data on health expenditures has been increasing at both the country and global levels. “A System of Health Accounts 2011” (SHA 2011) establishes an integrated and comprehensive methodology for tracking health expenditure through a set of uniform accounts comparable across countries. The framework, which focuses on final consumption, tracks resource flows through the health system: from its sources (funding sources, financial arrangements), patterns of provision (providers and factors of provision), and through to its use (health care functions, diseases/programs).      WHO works closely with partners to establish and institutionalize harmonized, integrated mechanisms for the routine and timely collection and publication of health expenditure data, as well as using health accounts information in policymaking. At a technical level. WHO has developed methodologies, practical guidance, and IT tools, and provides direct technical support. At an institutional level, it involves efforts to help countries build their capacity to undertake such functions. Data collection on countries’ health expenditure, based on SHA 2011, is the foundation of the Global Health Expenditure Database (GHED) ( https://apps.who.int/nha/database ). GHED is a global public good: being an open-access platform that hosts internationally comparable data on annual health spending for more than 190 countries from 2000 onwards, as well as data visualization for easy comparisons across countries and over time. GHED also contains key methodology and guidance documents for health expenditure tracking. WHO works with the countries to update the GHED annually. To accompany the annual data release, WHO also publishes an annual global health expenditure report that provides an overview of the trends in global health expenditure, the thematic profile of spending, as well as special topics.                                                                        ",WHO
Smallpox,https://www.who.int/health-topics/smallpox,"Smallpox is an acute contagious disease caused by the variola virus, a member of the orthopoxvirus family. It was one of the most devastating diseases known to humanity and caused millions of deaths before it was eradicated. It is believed to have existed
    for at least 3000 years. The smallpox vaccine, created by Edward Jenner in 1796, was the first successful vaccine to be developed. He observed that milkmaids who previously had caught cowpox did not catch smallpox and showed that a similar inoculation could be used to prevent
    smallpox in other people. The World Health Organization launched an intensified plan to eradicate smallpox in 1967. Widespread immunization and surveillance were conducted around the world for several years. The last known natural case was in Somalia in 1977. In 1980 WHO declared
    smallpox eradicated – the only infectious disease to achieve this distinction. This remains among the most notable and profound public health successes in history.         Early symptoms of smallpox include high fever, fatigue and severe back pain, and less often, abdominal pain and vomiting. Two to 3 days later the virus produces a characteristic rash with bumps full of a clear liquid, which later fill with pus and finally
    develop a crust that dries and falls off. The rash begins on the face and hands, then spreads to the rest of the body. Lesions develop in the mucous membranes of the nose and mouth and ulcerate soon after formation. Smallpox is transmitted from person to person via infective droplets during close contact with infected people who have symptoms of the disease, or in some cases through contaminated clothing and bedding. It has an incubation period of 7–17 days
    after exposure and only becomes infectious once a fever develops. People remain infectious until the last scabs fall off. Smallpox was fatal in up to 30% of cases. WHO smallpox recognition card    The period since eradication has been defined by a lengthy and complex debate focussed on the destruction of the last remaining stocks of live variola virus. In 1996, at the 49th World Health Assembly, Member States decided to have this stock destroyed
    in June 1999, and only to allow small samples to be kept for research purposes at two designated secure laboratories – one in the United States and one in the Russian Federation. Temporary retention of the existing stocks of variola virus are
    used for further essential research, which is overseen by the Advisory Committee for Variola Virus Research. This group meets on an annual basis. The WHO Smallpox Secretariat based in WHO Headquarters coordinates all smallpox eradication-related and post-eradication activities. These include overseeing permitted research with live variola virus for the development of countermeasures such as vaccine and antivirals. Since the eradication era, safer vaccines and specific treatments have been developed for smallpox and related diseases such as monkeypox . The Secretariat is also responsible for emergency preparedness and manages a smallpox vaccine emergency stockpile in the unlikely event that the disease re-emerges. The Secretariat manages the biosafety and biosecurity inspections of the authorized variola virus repositories as mandated by the World Health Assembly, and ensures annual reporting to WHO Governing Bodies. The Smallpox Secretariat supports WHO Archives in preserving the global history of smallpox and documenting the lessons learned from successful eradication of smallpox. The WHO Smallpox
Secretariat's current roles and responsibilities include: Variola virus research and development of countermeasures organizing annual meetings of the WHO Advisory Committee on Variola Virus Research (ACVVR) coordinating review of research proposals
 for work with variola virus through the ACVVR managing relationships with the two variola virus repositories (which are also WHO Collaborating Centres) recording, processing and monitoring requests from researchers for variola virus DNA from the 2 repositories under specific rules conducting biennial biosafety and biosecurity inspections of the 2 global variola virus repositories developing normative guidance regarding research on variola virus DNA and related matters Emergency preparedness and response coordinating and preparing normative guidance on development and use of medical countermeasures for orthopoxviruses developing preparedness and response strategies, and tools to implement preparedness measures maintaining and managing the smallpox global vaccine stockpile coordinating development of a laboratory network for orthopoxvirus detection and diagnostics developing normative guidance and response strategies for human monkeypox and other orthopoxviruses supporting capacity-building and developing training materials contributing to global health security initiatives Preserving global smallpox history overseeing the Smallpox Eradication Programme archives in collaboration with WHO Archives and the WHO Library leading on policy discussions and commemorative events regarding smallpox eradication reporting annually to the WHO Executive Board and the World Health Assembly The Secretariat also mobilizes and manages funding for these activities and for ad hoc events as required such as technical consultations and training. Show less Show more                                                                 ",WHO
Sepsis,https://www.who.int/health-topics/sepsis,"Sepsis is a life-threatening condition that arises when the body’s response to infection causes injury to its own tissues and organs. It is frequently a final common pathway to death for many infectious diseases worldwide. It involves organ dysfunction caused by a dysregulated host response to infection and if not recognized early and managed promptly, it can lead to septic shock, multiple organ failure and death. Although a precise estimate of the global epidemiological burden of sepsis is difficult to ascertain, a recent scientific publication reported that sepsis affects an estimated 49 million people and causes 11 million deaths globally every year. In the community setting, sepsis often presents as the clinical deterioration of common and preventable infections. Sepsis also frequently results from infections acquired in health care settings, which are one of the most frequent adverse events during care delivery and affect hundreds of millions of patients worldwide every year. If sepsis develops during pregnancy, while or after giving birth, or after an abortion, it is called maternal sepsis. Sepsis in newborn babies is called neonatal sepsis. Despite being highly preventable, maternal and neonatal sepsis continues to be a major cause of death for pregnant women and newborn babies.         Sepsis is a medical emergency and requires immediate attention to prevent further complications or death. It may present different warning signs and symptoms at times, some of which may cause misidentification with other conditions. A septic infection may cause a fever, but may also cause low body temperature, cold extremities and shivering. There may be difficulty breathing or rapid breathing, as well as an increased heart rate, or conversely a weak pulse and low blood pressure. It may cause low urine output, as well as blue-tinted, mottled or abnormally pale skin, and an altered mental state. Finally, it may cause extreme body pain or discomfort, which makes it easy to confuse for influenza or food poisoning. In children, sepsis may present through very fast breathing, convulsions, pale skin, lethargy or difficulty waking up or feeling abnormally cold to the touch. For children under 5 years, it may cause difficulty feeding, repeated vomiting or a lack of urination. Suspecting sepsis and acting quickly is crucial for early recognition and diagnosis. Early identification of symptoms and timely establishment of appropriate clinical management are critical elements to reducing the risk and impact of sepsis. The detection of some biomarkers, such as C reactive protein and procalcitonin, can be effective in diagnosing the condition. After early recognition, diagnostics to help identify a causal pathogen of infection leading to sepsis are important to guide targeted antimicrobial treatment. The appropriate antimicrobial therapy (for example, antibiotics and antifungals) should be given within one hour of sepsis identification. Antimicrobial resistance (AMR) can jeopardize clinical management of sepsis because empirical antibiotic treatment is often required. Early fluid resuscitation is important in the initial phase and vasopressors may be required to improve and maintain tissue perfusion. There are two main steps to preventing sepsis: Prevention of microbial transmission and infection Prevention of an infection evolving into sepsis Within the community, sepsis prevention is assisted through the use of effective hygiene practices, improving sanitation and water quality and availability, providing access to vaccines, particularly for those at high risk, as well as appropriate nutrition, including breastfeeding for newborns. Prevention in health care facilities relies on infection prevention and control (IPC) programmes, effective hygiene practices, and clean, well-functioning equipment.                                                                    ",WHO
Sexually transmitted infections (STIs),https://www.who.int/health-topics/sexually-transmitted-infections,"Sexually transmitted infections (STIs) are spread predominantly by unprotected sexual contact. Some STIs can also be transmitted during pregnancy, childbirth and breastfeeding and through infected blood or blood products. STIs have a profound impact on health. If untreated, they can lead to serious consequences including neurological and cardiovascular disease, infertility, ectopic pregnancy, stillbirths, and increased risk of Human Immunodeficiency Virus (HIV). They are
    also associated with stigma, domestic violence, and affects quality of life. The majority of STIs have no symptoms. When they are present common symptoms of STIs are vaginal or urethral discharge, genital ulcer and lower abdominal pain. The most common and curable STIs are trichomonas, chlamydia, gonorrhoea and syphilis. Rapidly increasing antimicrobial resistance is a growing threat for untreatable gonorrhoea. Viral STIs including HIV, genital herpes simplex virus (HSV), viral hepatitis B, human papillomavirus (HPV) and human T-lymphotropic virus type 1 (HTLV-1) lack or have limited treatment options. Vaccines are available for hepatitis B to prevent
    infection that can lead to liver cancer and for HPV to prevent cervical cancer. HIV, HSV and HTLV-1 are lifelong infections: for HIV and HSV there are treatments that can suppress the virus, but currently there are no cures for any of these viral STIs. Condoms used correctly and consistently are effective methods to protect against STIs and HIV. Screening with early diagnosis of people with STIs and their sexual partners offers the best opportunity for effective treatment and for preventing complications
    and further transmission.         A person can have an STI without having obvious symptoms of disease. When present, common symptoms of STIs include: abnormal vaginal discharge, urethral discharge, genital ulcers and lumps, and lower abdominal pain. Symptoms of specific STIs are: Gonorrhoea and chlamydial infection These STIs cause cervicitis in women, urethritis in men and extra-genital infections, including rectal and oropharyngeal manifestations. Common symptoms include vaginal or penile discharge and burning with urination. Infants of infected mothers can
    contract neonatal conjunctivitis (red eyes) due to exposure to the STIs during vaginal delivery. Rectal and pharyngeal infections can be asymptomatic. Syphilis Syphilis is often asymptomatic, when symptoms occur, primary syphilis presents as a solitary, painless ulcer. Secondary syphilis may manifest as generalized lesions affecting skin, mucous membranes and lymph-node including a classic rash on the palms of the hands and soles of the feet. Latent syphilis is asymptomatic and characterized by positive syphilis serology. Trichomoniasis The predominant symptoms include abnormal vaginal discharge with redness of the vulva, itching and painful intercourse. Genital herpes simplex virus (HSV) HSV most commonly presents as painful sores, vesicles or ulcerations on the external genitalia and mouth. Symptomatic genital HSV is a lifelong condition
 that can be characterized by frequent symptomatic recurrences. Human T-lymphotropic virus type 1 (HTLV-1) Generally asymptomatic, the chronic form of HTLV-1 can cause severe disease, including adult T-cell leukaemia/lymphoma (ATL) and a progressive nervous system condition known as HTLV-1-associated myelopathy or tropical spastic paraparesis (HAM/TSP). Effective treatment is currently available for several STIs. Three bacterial STIs (chlamydia, gonorrhoea and syphilis) and one parasitic STI (trichomoniasis) are usually curable with existing, effective single-dose or multiple-dose regimens of antibiotics. For viral STIs (HIV, HSV and HTLV-1), the most effective medications available are antivirals or anti-cancer drugs (in the case of HTLV-1), that can modulate the course of the diseases, though they cannot cure these three diseases. Antimicrobial resistance (AMR) to antibiotics used to treat STIs, in particular gonorrhoea, has increased rapidly in recent years and has reduced successful treatment outcomes. Results from the current Gonococcal AMR Surveillance Programme (GASP) show trends of high rates of quinolone resistance, increasing azithromycin resistance and emerging resistance of extended-spectrum cephalosporins. The emergence of decreased susceptibility of gonorrhoea to extended-spectrum cephalosporins, together with established high-levels of resistance to penicillins, sulphonamides, tetracyclines, quinolones and macrolides make gonorrhoea a multidrug-resistant organism. AMR for other STIs, though less common, also exists, making prevention and prompt treatment critical. To adequately treat STIs it is important to take the appropriate antimicrobials, with the correct dose   and duration for the specific STI to ensure adequate treatment or cure, and to prevent the development of antimicrobial resistance.                                                                    ",WHO
Health promotion,https://www.who.int/health-topics/health-promotion,"“Health promotion is the process of enabling people to increase control over, and to improve their health.” Health Promotion Glossary, 1998 A brief history of Health Promotion The first International Conference on Health Promotion was held in Ottawa in 1986, and was primarily a response to growing expectations for a new public health movement around the world. It launched a series of actions among international organizations, national governments and local communities to achieve the goal of ""Health For All"" by the year 2000 and beyond. The basic strategies for health promotion identified in the Ottawa Charter were: advocate (to boost the factors which encourage health), enable (allowing all people to achieve health equity) and mediate (through collaboration across all sectors). Since then, the WHO Global Health Promotion Conferences have established and developed the global principles and action areas for health promotion. Most recently, the 9th global conference (Shanghai 2016), titled ‘Promoting health in the Sustainable Development Goals: Health for all and all for health’, highlighted the critical links between promoting health and the 2030 Agenda for Sustainable Development. Whilst calling for bold political interventions to accelerate country action on the SDGs, the Shanghai Declaration provides a framework through which governments can utilize the transformational potential of health promotion.                                                                   Good Governance Strengthen governance and policies to make healthy choices accessible and affordable to all, and create sustainable systems that make whole-of-society collaboration real. This approach is based on the rationale that health is determined by multiple factors outside the direct control of the health sector (e.g. education, income, and individual living conditions) and that decisions made in other sectors can affect the health of individuals and shape patterns of disease distribution and mortality. Health Literacy Improving health literacy in populations provides the foundation on which citizens are enabled to play an active role in improving their own health, engage successfully with community action for health, and push governments to meet their responsibilities in addressing health and health equity. Healthy Settings The settings approach has roots in the WHO Health for All strategy and, more specifically, the Ottawa Charter for Health Promotion. Healthy Settings key principles include community participation, partnership, empowerment and equity. The Healthy Cities programme is the best-known example of a successful Healthy Settings programme. Social mobilization Bringing together all societal and personal influences to raise awareness of and demand for health care, assist in the delivery of resources and services, and cultivate sustainable individual and community involvement.         Promoting Healthier Populations The Sustainable Development Goals (SDGs) provides a bold and ambitious agenda for the future. WHO is committed to helping the world meet the SDGs by championing health across all the goals. WHO’s core mission is to promote health, alongside keeping the world safe and serving the vulnerable. Beyond fighting disease, we will work to ensure healthy lives and promote well-being for all at all ages, leaving no-one behind. Our target is 1 billion more people enjoying better health and well-being by 2023.  ",WHO
Mpox,https://www.who.int/health-topics/mpox,"Mpox (previously known as monkeypox) is a viral disease caused by an orthopoxvirus called monkeypox virus. It spreads mainly through close contact with someone who has mpox, causing a painful rash, enlarged lymph nodes and fever. It can make people very sick and leave scars. The disease mainly spreads from person to person through close contact. This includes, but isn’t limited to, sexual contact. Transmission occurs through exposure to bodily fluids; lesions on the skin or on internal mucosal surfaces, such as in the mouth or throat; respiratory particles; and contaminated objects. In areas where animals carry the virus, mpox is a zoonotic disease, meaning it can spread from animals to humans. It's found in tropical rainforests in central, east and west Africa, where small mammals such as squirrels, Gambian pouched rats, dormice, and various species of monkeys may be carriers. Since May 2022, mpox has spread globally, with cases reported from countries without previously documented mpox transmission. The spread in most countries today is from people and not animals.         Mpox typically causes a fever, a rash resembling pimples or blisters and swollen lymph nodes.   Symptoms usually appear within a week of exposure but can take anywhere from 1 to 21 days to develop. The illness often begins with a feverish phase lasting 1 to 3 days with symptoms including intense headache, swollen lymph nodes back pain, muscle aches and severe fatigue. The first stage is followed by the skin eruption stage, lasting from 2 to 4 weeks. Lesions evolve from macules (lesions with a flat base) to papules (raised firm painful lesions) to vesicles (filled with clear fluid) to pustules (filled with pus), followed by scabs or crusts.  They can leave scars. For some people, the first symptom of mpox is the rash. Some people with mpox become very sick and it can even be fatal in some cases. Children, pregnant people and people with weak immune systems, including people living with HIV that is not well controlled, are at higher risk for serious illness and death due to complications from mpox.                                                                    Prevention and control of mpox rely on raising awareness in communities and educating health workers to prevent infection and stop transmission. Mpox vaccines also provide protection against infection and severe disease. WHO recommends the use of vaccines for those most at risk of exposure during outbreaks, including people who have had close contact with someone with mpox, and health workers. People who were vaccinated against smallpox in childhood may have some cross-protection against mpox. To prevent spread, close contact with people who have mpox or with contaminated materials should be avoided. Masks, gloves and other personal protective equipment should be worn while taking care of the sick, whether in a health facility or at home. Where animal-to-human transmission is possible, contact with sick or dead animals should be avoided, and all foods containing animal meat or parts must be properly cooked before consumption. Care of patients with mpox should focus on managing symptoms to make people feel better, and to prevent medical complications. Potential treatments against mpox are being developed and tested. ",WHO
Health financing,https://www.who.int/health-topics/health-financing,"Health financing is a core function of health systems that can enable progress towards universal health coverage by improving effective service coverage and financial protection. Today, millions of people do not access services due to the cost. Many others receive poor quality of services even when they pay out-of-pocket. Carefully designed and implemented health financing policies can help to address these issues. For example, contracting and payment arrangements can incentivize care coordination and improved quality of care; sufficient and timely disbursement of funds to providers can help to ensure adequate staffing and medicines to treat patients. WHO’s approach to health financing focuses on core functions: revenue raising (sources of funds, including government budgets, compulsory or voluntary prepaid insurance schemes, direct out-of-pocket payments by users, and external aid) pooling of funds (the accumulation of prepaid funds on behalf of some or all of the population) purchasing of services (the payment or allocation of resources to health service providers) In addition, all countries have policies on which services the population is entitled to, even if not explicitly stated by government; by extension those services not covered, are usually paid for by patients (sometimes called co-payments).   Health financing reforms cannot simply be imported from one country to another given the unique context of each country and its starting point in terms of health financing arrangements; the underlying causes of performance problems differ in each country and it is these causes which the reforms proposed in a health financing strategy must address. However, there are lessons from international experience that allow a number of guiding principles for reforms which support progress towards UHC, to be specified. These do not constitute a “how-to” guide, but rather a set of “signposts” that can be used to check whether reform strategies (and more importantly, reform implementation) create an appropriate incentive environment and hence are pointing and moving in the right direction in terms of objectives and goals. The guiding principles can be summarized as: moving towards predominant reliance on public funding sources reducing fragmentation in how funds are pooled or mitigating the consequences moving towards more strategic purchasing of health services, linking provider payments to data on their performance, and to the health needs of the populations they serve aligning coverage policies (benefits and copayments) explicitly with policy objectives.                             Experience demonstrates that real progress is possible in countries at all income levels. Each country’s pathway will differ depending on the local context, however the above lessons are essential for equitable and effective progress. Country experience should be looked at through the lens of the health financing functions, rather than labels, and can provide valuable lessons. Labels such as “social health insurance,” “community insurance,” or “tax-funded systems” have little meaning by themselves and hide the complex choices and options available to countries as they raise, pool, and use funds to ensure the availability and use of quality services. Health system financing is an essential component of UHC but progress toward UHC also requires coordinated actions across the pillars of the health system with particular attention to strengthening human resources for health.                                              ",WHO
Palliative care,https://www.who.int/health-topics/palliative-care,"Palliative care is a crucial part of integrated, people-centred health services. Relieving serious health-related suffering, be it physical, psychological, social, or spiritual, is a global ethical responsibility. Thus, whether the cause of suffering
    is cardiovascular disease, cancer, major organ failure, drug-resistant tuberculosis, severe burns, end-stage chronic illness, acute trauma, extreme birth prematurity or extreme frailty of old age, palliative care may be needed and has to be available
    at all levels of care. It is estimated that globally only 14% of patients who need palliative care receive it; to achieve Sustainable Development Goal 3, working towards universal health coverage, countries have to strengthen palliative care services. WHO works with countries
    to include palliative care as a key part of their health systems. To improve equitable access to palliative care services, emphasis is given to a Primary Health Care approach. Assessment tools have been developed to measure progress made. Strong partnerships
    are in place to develop and implement technical guidance, to strengthen capacity and to disseminate information.                                                                              ",WHO
Biological weapons,https://www.who.int/health-topics/biological-weapons,"Biological and toxin weapons are either microorganisms like virus, 
bacteria or fungi, or toxic substances produced by living organisms that
 are produced and released deliberately to cause disease and death in 
humans, animals or plants. Biological agents like anthrax, 
botulinum toxin and plague can pose a difficult public health challenge 
causing large numbers of deaths in a short amount of time. Biological 
agents which are capable of secondary transmission can lead to 
epidemics. An attack involving a biological agent may mimic a natural 
event, which may complicate the public health assessment and response. 
In case of war and conflict, high-threat pathogens laboratories can be 
targeted, which might lead to serious public health consequences. Biological
 weapons form a subset of a larger class of weapons sometimes referred 
to as unconventional weapons or weapons of mass destruction, which also 
includes chemical, nuclear and radiological weapons. The use of 
biological agents is a serious concern, and the risk of using these 
agents in a terrorist attack is thought to be increasing.                      With the occurrence of a potential, suspected or confirmed deliberate
 biological event, WHO would, upon the invitation of the affected Member
 State(s), work closely with the Member State government(s), other UN 
agencies, and other international partners as appropriate, support the 
event response, and assess and mitigate the public health 
consequences. These activities could include: working with relevant international or national organizations to better characterize the nature, scope and impact of the event; facilitating
 the public health investigation of the event, including referral to 
appropriate laboratories for confirmation and characterization of the 
pathogen; offering targeted training to public health responders; facilitating
 the identification and acquisition of necessary materials (such as 
personal protective equipment) appropriate to the event; supporting the continued delivery of essential health services; and developing guidance material specific to the pathogen or toxin in question.              WHO focuses on the possible public health consequences of an incident
 due to a biological agent, regardless of whether it is characterized as
 a deliberate act or a naturally occurring event. When a Member 
State is concerned about biological agents and wants to be better 
prepared, WHO advises strengthening public health surveillance and 
response activities, with an emphasis on: more effective 
national surveillance of outbreaks of illness, including alert and 
response systems at all levels that can detect diseases that may be 
deliberately caused; improved biosafety and biosecurity throughout the health sector; better
 communication between multiple sectors, including public health, animal
 health, water supply, food safety, poison control, civil protection, 
law enforcement, and security services; improved assessments of 
vulnerability, and effective communication about risks and threats to 
both professionals and the public; preparation for handling the psychosocial consequences of the deliberate use of pathogens to cause harm; and contingency plans for an enhanced response capacity by all sectors. WHO’s
 global alert and response activities and the Global Outbreak Alert and 
Response Network (GOARN) represent a major pillar of global health security 
aimed at the detection, verification and containment of epidemics. In 
the event of the intentional release of a biological agent, these 
activities would be vital to effective international containment 
efforts.                                          ",WHO
Food safety,https://www.who.int/health-topics/food-safety,"Access to enough safe and nutritious food is key to sustaining life and promoting good health. Unsafe food containing harmful bacteria, viruses, parasites or chemical substances can cause more than 200 different diseases, ranging from diarrhoea to cancers.
    Around the world, an estimated 600 million – almost 1 in 10 people – fall ill after eating contaminated food each year, resulting in 420 000 deaths and the loss of 33 million healthy life years (DALYs). Food safety, nutrition and food security are closely linked. Unsafe food creates a vicious cycle of disease and malnutrition, particularly affecting infants, young children, elderly and the sick. In addition to contributing to food and nutrition security,
    a safe food supply also supports national economies, trade and tourism, stimulating sustainable development. The globalization of food trade, a growing world population, climate change and rapidly changing food systems have an impact on the safety
    of food. WHO aims to enhance the capacity to prevent, detect and respond to public health threats associated with unsafe food at the global and country levels. Learn about Nutrition and Food Safety and COVID-19     Foodborne diseases impede socioeconomic development by straining health care systems and harming national economies, tourism and trade. The burden of foodborne diseases to public health and to economies has often been underestimated due to underreporting
    and difficulty to establish causal relationships between food contamination and resulting illness or death. Children under 5 years of age carry 40% of the foodborne disease burden, with 125 000 deaths every year. The consumption and production of safe food have immediate and long-term benefits for people, the planet and the economy. Safe food is essential to human health and well-being, only food that is safe can be traded. Safe food allows for the uptake of nutrients
    and promotes long-term human development. When food is not safe, humans cannot develop, and the Sustainable Development Goals cannot be achieved. The 2019 World Bank report on the economic burden of the foodborne diseases indicated that US$ 110 billion is lost each year in productivity and medical expenses resulting from unsafe food in low- and middle-income countries. Unsafe or contaminated food
    leads to trade rejections, economic losses and food loss and waste, while safe food production improves economic opportunities by enabling market access and productivity.        WHO calls for the transformation of food systems to make food safe, healthy and sustainably produced for all the world population. WHO provides scientific advice and research to help develop international standards for food safety through the Food and Agriculture Organization (FAO)/WHO Codex Alimentarius. WHO provides global leadership in facilitating investment and coordinated evidence-based action across multiple sectors. This supports Member States in building strong, sustainable and resilient national food control systems with a balance of responsibilities between the different stakeholders, including consumers. It does so through the implementation of WHO Global Strategy for Food Safety (2022–2030); monitoring the global burden of foodborne diseases and supporting countries in burden estimates; supporting stronger national food control systems by comprehensive assessments through the FAO/WHO food control system assessment tool; and helping implement adequate infrastructure to respond to food safety emergencies through the International Food Safety Authorities Network (INFOSAN). WHO promotes safe food handling through the WHO Five keys to safer food and advocates for priorities and policies that move food safety forward globally, by convening with partners and the public through World Food Safety Day and global Food Safety Community of Practice.                                                                 ",WHO
Electromagnetic fields,https://www.who.int/health-topics/electromagnetic-fields,"Electromagnetic fields (EMF) of all frequencies represent one of the most common and fastest growing environmental influences, about which anxiety and speculation are spreading. All populations are now exposed to varying degrees of EMF, and the levels will continue to increase as technology advances. Electromagnetic radiation has been around since the birth of the universe; light is its most familiar form. Electric and magnetic fields are part of the spectrum of electromagnetic radiation which extends from static electric and magnetic fields, through radiofrequency and infrared radiation, to X-rays.      As part of its charter to protect public health and in response to public concern over health effects of EMF exposure, the WHO established the International EMF Project in 1996 to assess the scientific evidence of possible health effects of EMF in the frequency range from 0 to 300 GHz. The EMF Project encourages focused research to fill important gaps in knowledge and to facilitate the development of internationally acceptable standards limiting EMF exposure. Key objectives of the Project are to: provide a coordinated international response to concerns about possible health effects of exposure to EMF, assess the scientific literature and make a status report on health effects, identify gaps in knowledge needing further research to make better health risk assessments, encourage a focused research programme in conjunction with funding agencies, incorporate the research results into WHO's Environmental Health Criteria monographs where formal health risk assessments will be made on exposure to EMF, facilitate the development of internationally acceptable standards for EMF exposure, provide information on the management of EMF protection programmes for national and other authorities, including monographs on EMF risk perception, communication and management, and provide advice to national authorities, other institutions, the general public and workers, about any hazards resulting from EMF exposure and any needed mitigation measures.                                                                        ",WHO
Health budget,https://www.who.int/health-topics/health-budget,"Raising domestic public funds is essential for universal health coverage (UHC). No country has made significant progress toward UHC without increasing reliance on public revenues. Therefore, domestic tax systems that are essential to support country’s fiscal space expansion are central to the UHC agenda. While the level of revenues matter, the allocation and use of these revenues are two crucial elements in supporting effective progress toward UHC. Public Financial Management (PFM) systems are key enabling factors to support appropriate formulation, execution and accounting of government expenditure. In health, countries face challenges at all stages of the PFM cycle. Key questions include: How to align budget allocations with sector needs? How to ensure effective disbursement? How to make the budget system more accountable and transparent? As part of the Montreux Collaborative Agenda on Fiscal Space, PFM and Health Financing , WHO is supporting countries and partners in fostering dialogue between health and finance authorities, with the aim to strengthen domestic PFM systems and make budget practices more effective toward UHC.                                                                              Generally, the key features of a well-functioning budgeting system typically include: Multi-year planning and budgeting Policy or output-oriented allocation Realistic and credible estimates of costs Open and transparent consultation processes. In health, proactive engagement of health ministries in the budgeting process can facilitate alignment of budget allocations with sector priorities, as laid out in national health strategies and plans. The development of multi-year plans and budgets is likely to improve predictability in the sector’s resources. If the health budget is formulated according to sector goals or outputs and the execution rules align with this logic, it will make budgets more responsive to sector needs than if the formulation follows an input-based approach. A quality performance framework of budgets will also facilitate financial and operational accountability in health.",WHO
